127.0.0.1 - - [24/Aug/2022:01:04:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:45 +0900] "GET /intrip/ HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:48 +0900] "GET /intrip/login_signup/login HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:48 +0900] "GET /intrip/resources/images/login/kakao_login_medium.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:48 +0900] "GET /intrip/resources/css/login_signup/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:48 +0900] "GET /intrip/resources/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:48 +0900] "GET /intrip/resources/images/login/naver.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:50 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:50 +0900] "GET /intrip/resources/css/login_signup/idSearch.css?ver123 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:04:52 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:08:25 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:08:27 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:09:20 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:09:23 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:09:37 +0900] "GET /intrip/mailCheck?email=d HTTP/1.1" 500 5997
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:10:51 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:10:53 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:11:24 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:11:26 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:11:56 +0900] "GET /intrip/mailCheck?email=apple@gmail.com HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:12:07 +0900] "POST /intrip/login_signup/find_id HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:12:08 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:12:09 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:12:11 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:15:28 +0900] "GET /intrip/login_signup/find_id HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [24/Aug/2022:01:15:30 +0900] "GET /intrip/mailCheck?email= HTTP/1.1" 200 6
